iter	Logloss	Accuracy
0	0.6269791302	0.7989893617
1	0.5791620693	0.8116489362
2	0.5404726669	0.8230851064
3	0.5053738354	0.8286702128
4	0.4785666077	0.8335106383
5	0.4540056296	0.837287234
6	0.4339305744	0.8405319149
7	0.4213838387	0.8436170213
8	0.4089526564	0.8453723404
9	0.3965247017	0.8485106383
10	0.3873364433	0.8496808511
11	0.378196638	0.8514893617
12	0.3716990386	0.8530851064
13	0.363660834	0.8556382979
14	0.3573365979	0.857712766
15	0.3529316194	0.8603723404
16	0.3481991945	0.862287234
17	0.3432575123	0.8639893617
18	0.3384391687	0.8668085106
19	0.3344258501	0.8682446809
20	0.3307888498	0.8690957447
21	0.3268619845	0.869787234
22	0.3234057514	0.8709042553
23	0.320375403	0.8718617021
24	0.3182353823	0.8737765957
25	0.3153668449	0.8753191489
26	0.3121041722	0.8764893617
27	0.309347227	0.8777659574
28	0.3063203541	0.8801595745
29	0.3045422736	0.8809574468
30	0.3014621763	0.8820212766
31	0.2987920667	0.8833510638
32	0.2970413715	0.884893617
33	0.2948719764	0.8862765957
34	0.2917196779	0.8891489362
35	0.2906811372	0.8885638298
36	0.2891944068	0.89
37	0.2873966199	0.8905319149
38	0.2854106312	0.8912765957
39	0.2843586887	0.8921808511
40	0.2809373301	0.8960106383
41	0.2788654534	0.8966489362
42	0.2770437891	0.897393617
43	0.2748393689	0.8989361702
44	0.2728993378	0.900106383
45	0.2708263106	0.9009574468
46	0.269764361	0.9011170213
47	0.2683868591	0.9012234043
48	0.2664715283	0.902712766
49	0.2646488833	0.9034574468
50	0.2632193495	0.9040425532
51	0.2606085071	0.904787234
52	0.2594403118	0.9052659574
53	0.25750842	0.9061170213
54	0.2566415009	0.9071808511
55	0.2553418449	0.907287234
56	0.2538474347	0.9084042553
57	0.2521340788	0.9090425532
58	0.2507257823	0.9109042553
59	0.2492772071	0.9119148936
60	0.24741404	0.9131382979
61	0.2464202181	0.9132446809
62	0.2454712249	0.9136702128
63	0.2441713567	0.9146276596
64	0.2426100506	0.9140425532
65	0.2419364356	0.9145212766
66	0.2408940456	0.9153723404
67	0.2390610261	0.9162234043
68	0.2381995376	0.9169148936
69	0.2371188102	0.9180851064
70	0.2353190666	0.9189893617
71	0.234579517	0.9194148936
72	0.2334475133	0.9206382979
73	0.2320562436	0.9212765957
74	0.2307930907	0.9214361702
75	0.2296328903	0.9220212766
76	0.2279398361	0.9226595745
77	0.2261342168	0.9239361702
78	0.2247462936	0.9248404255
79	0.2238724799	0.9253723404
80	0.2228571554	0.9268617021
81	0.2214138759	0.9268085106
82	0.220239661	0.927606383
83	0.2193451601	0.9284042553
84	0.2184430229	0.9287234043
85	0.2164773697	0.9294680851
86	0.2159530693	0.9294148936
87	0.2148340729	0.9299468085
88	0.214364059	0.9301595745
89	0.2127218502	0.9314893617
