iter	Passed	Remaining
0	276	138123
1	555	138415
2	823	136494
3	1104	136937
4	1387	137347
5	1683	138628
6	1972	138917
7	2304	141754
8	2601	141936
9	2898	142043
10	3197	142161
11	3500	142368
12	3800	142355
13	4082	141705
14	4379	141595
15	4665	141137
16	4969	141199
17	5285	141544
18	5644	142886
19	5935	142460
20	6241	142354
21	6562	142588
22	6850	142070
23	7169	142202
24	7482	142175
25	7770	141657
26	8070	141383
27	8384	141332
28	8680	140981
29	8992	140875
30	9289	140547
31	9638	140969
32	10037	142042
33	10391	142425
34	10689	142013
35	10956	141214
36	11219	140389
37	11475	139519
38	11773	139163
39	12014	138171
40	12268	137346
41	12501	136329
42	12597	133884
43	12873	133417
44	13104	132502
45	13331	131577
46	13590	130989
47	13656	128599
48	13930	128216
49	14173	127559
50	14376	126573
51	14638	126114
52	14953	126120
53	15329	126614
54	15695	126987
55	16138	127958
56	16636	129300
57	17113	130413
58	17468	130566
59	17787	130439
60	18099	130256
61	18396	129959
62	18695	129678
63	19000	129440
64	19301	129173
65	19372	127388
66	19678	127175
67	20037	127297
68	20550	128365
69	21044	129272
70	21432	129503
71	21912	130257
72	22029	128855
73	22573	129948
74	23195	131443
75	23696	132201
76	24103	132411
77	24516	132642
78	24872	132549
79	25227	132445
80	25529	132058
81	25831	131676
82	26157	131415
83	26461	131048
84	26762	130662
85	27060	130269
86	27359	129878
87	27641	129412
88	27915	128914
89	28209	128508
90	28501	128101
91	28794	127696
92	29086	127292
93	29369	126851
94	29634	126335
95	29919	125911
96	30179	125383
97	30442	124877
98	30713	124403
99	30982	123928
100	31247	123442
101	31510	122954
102	31784	122510
103	32065	122095
104	32335	121642
105	32603	121187
106	32863	120704
107	33128	120242
108	33389	119771
109	33651	119311
110	33920	118873
111	34191	118450
112	34452	117991
113	34718	117556
114	34976	117094
115	35240	116658
116	35492	116186
117	35789	115859
118	36103	115591
119	36387	115226
120	36672	114865
121	36947	114476
122	37222	114089
123	37528	113795
124	37799	113399
125	38067	112993
126	38353	112643
127	38622	112247
128	38883	111828
129	39135	111384
130	39393	110964
131	39652	110546
132	39920	110156
133	40178	109742
134	40445	109353
135	40708	108955
136	40958	108526
137	41219	108126
138	41482	107734
139	41739	107329
140	41992	106916
141	42263	106552
142	42518	106148
143	42763	105721
144	43022	105330
145	43289	104961
146	43563	104610
147	43827	104237
148	44077	103833
149	44341	103463
150	44603	103090
151	44863	102713
152	45132	102358
153	45385	101969
154	45638	101582
155	45896	101207
156	46157	100840
157	46412	100461
158	46679	100112
159	46941	99751
160	47207	99399
161	47480	99063
162	47735	98691
163	47991	98323
164	48237	97937
165	48497	97579
166	48741	97190
167	48991	96816
168	49248	96457
169	49495	96080
170	49766	95749
171	50023	95393
172	50274	95026
173	50528	94668
174	50779	94303
175	51022	93928
176	51277	93574
177	51519	93197
178	51772	92844
179	52051	92536
180	52307	92188
181	52553	91823
182	52803	91468
183	53052	91111
184	53301	90756
185	53565	90428
186	53854	90141
187	54143	89855
188	54455	89606
189	54774	89369
190	55066	89086
191	55315	88735
192	55560	88378
193	55808	88027
194	56050	87669
195	56307	87334
196	56551	86979
197	56799	86633
198	57045	86284
199	57302	85953
200	57548	85607
201	57782	85243
202	58019	84886
203	58255	84527
204	58507	84193
205	58756	83855
206	59003	83517
207	59240	83163
208	59477	82812
209	59720	82470
210	59961	82127
211	60191	81769
212	60430	81424
213	60671	81083
214	60910	80742
215	61166	80422
216	61415	80094
217	61690	79801
218	61941	79477
219	62207	79172
220	62450	78840
221	62736	78561
222	62985	78237
223	63239	77920
224	63491	77600
225	63749	77289
226	64005	76975
227	64250	76649
228	64492	76320
229	64726	75982
230	64964	75651
231	65222	75342
232	65452	75003
233	65702	74687
234	65954	74374
235	66206	74061
236	66467	73758
237	66730	73459
238	66982	73148
239	67220	72822
240	67478	72518
241	67737	72215
242	67983	71900
243	68225	71580
244	68467	71261
245	68691	70925
246	68930	70604
247	69177	70292
248	69432	69990
249	69673	69673
250	69896	69339
251	70144	69031
252	70393	68723
253	70638	68414
254	70866	68087
255	71128	67794
256	71366	67478
257	71600	67159
258	71838	66845
259	72077	66533
260	72317	66221
261	72562	65915
262	72820	65621
263	73084	65333
264	73306	65007
265	73547	64699
266	73792	64395
267	74037	64092
268	74265	63774
269	74508	63470
270	74753	63168
271	74996	62864
272	75221	62547
273	75459	62240
274	75721	61953
275	75956	61646
276	76187	61335
277	76434	61037
278	76660	60724
279	76904	60424
280	77135	60115
281	77381	59819
282	77616	59515
283	77838	59201
284	78070	58895
285	78314	58599
286	78537	58287
287	78793	58000
288	79065	57726
289	79341	57454
290	79603	57172
291	79852	56881
292	80080	56575
293	80325	56282
294	80562	55984
295	80807	55691
296	81035	55388
297	81280	55096
298	81524	54804
299	81764	54509
300	81989	54205
301	82236	53916
302	82466	53617
303	82710	53326
304	82946	53031
305	83197	52746
306	83453	52464
307	83685	52167
308	83922	51874
309	84150	51576
310	84393	51287
311	84621	50990
312	84849	50692
313	85085	50401
314	85345	50123
315	85582	49832
316	85815	49540
317	86045	49245
318	86272	48950
319	86518	48666
320	86735	48366
321	86980	48082
322	87211	47790
323	87437	47497
324	87680	47212
325	87916	46924
326	88155	46638
327	88377	46344
328	88607	46054
329	88845	45768
330	89073	45478
331	89308	45192
332	89547	44908
333	89783	44623
334	90009	44333
335	90243	44047
336	90504	43774
337	90747	43494
338	90988	43212
339	91227	42930
340	91468	42649
341	91695	42362
342	91942	42084
343	92180	41802
344	92425	41524
345	92665	41244
346	92894	40959
347	93141	40682
348	93381	40403
349	93620	40123
350	93862	39844
351	94090	39560
352	94323	39278
353	94566	39001
354	94910	38766
355	95235	38522
356	95595	38291
357	95922	38047
358	96233	37796
359	96543	37544
360	96851	37291
361	97165	37040
362	97449	36778
363	97731	36515
364	98002	36247
365	98270	35978
366	98557	35716
367	98865	35462
368	99184	35211
369	99487	34955
370	99813	34706
371	100170	34467
372	100544	34233
373	100844	33974
374	101108	33702
375	101373	33431
376	101638	33160
377	101889	32884
378	102132	32606
379	102367	32326
380	102656	32063
381	102931	31795
382	103187	31522
383	103471	31257
384	103750	30990
385	104026	30722
386	104306	30456
387	104575	30186
388	104846	29917
389	105096	29642
390	105329	29362
391	105553	29080
392	105779	28799
393	106056	28532
394	106377	28277
395	106735	28031
396	107057	27775
397	107366	27515
398	107711	27265
399	108162	27040
400	108522	26792
401	108889	26545
402	109210	26286
403	109526	26026
404	109842	25765
405	110153	25503
406	110458	25239
407	110837	24992
408	111178	24736
409	111537	24483
410	111851	24220
411	112134	23951
412	112409	23679
413	112667	23404
414	112925	23129
415	113174	22852
416	113449	22580
417	113740	22312
418	114007	22039
419	114267	21765
420	114538	21492
421	114784	21216
422	115036	20940
423	115316	20669
424	115605	20400
425	115856	20125
426	116094	19847
427	116333	19570
428	116596	19296
429	116834	19019
430	117072	18742
431	117322	18467
432	117561	18190
433	117796	17913
434	118042	17638
435	118286	17363
436	118523	17086
437	118788	16814
438	119044	16541
439	119305	16268
440	119567	15996
441	119828	15724
442	120098	15452
443	120383	15183
444	120638	14910
445	120898	14637
446	121165	14366
447	121416	14092
448	121667	13819
449	121912	13545
450	122170	13273
451	122443	13002
452	122696	12730
453	122944	12456
454	123199	12184
455	123466	11913
456	123725	11641
457	123977	11369
458	124249	11098
459	124518	10827
460	124767	10555
461	125019	10283
462	125284	10011
463	125526	9739
464	125770	9466
465	126040	9196
466	126304	8925
467	126570	8654
468	126836	8383
469	127099	8112
470	127384	7843
471	127688	7574
472	127978	7305
473	128246	7034
474	128545	6765
475	128852	6496
476	129207	6230
477	129524	5961
478	129815	5691
479	130095	5420
480	130375	5149
481	130631	4878
482	130890	4606
483	131142	4335
484	131394	4063
485	131658	3792
486	131914	3521
487	132171	3250
488	132447	2979
489	132748	2709
490	133000	2437
491	133270	2167
492	133530	1895
493	133785	1624
494	134067	1354
495	134344	1083
496	134654	812
497	134927	541
498	135217	270
499	135501	0
