iter	Logloss	Accuracy
0	0.6263154695	0.8015319149
1	0.574216699	0.8209787234
2	0.5370251616	0.8265531915
3	0.5026969474	0.8282978723
4	0.4761780484	0.8318297872
5	0.451250297	0.8358723404
6	0.4330383384	0.8390212766
7	0.418900397	0.8399574468
8	0.4074040726	0.8430638298
9	0.3958179295	0.8453617021
10	0.3878581522	0.8467234043
11	0.3797917313	0.8481702128
12	0.3724508645	0.849787234
13	0.3653525591	0.8518723404
14	0.3593561709	0.8536595745
15	0.3554851208	0.8546808511
16	0.3504685092	0.8582553191
17	0.346477087	0.8600851064
18	0.3425802356	0.8607659574
19	0.3387396896	0.8614042553
20	0.3352347133	0.8628510638
21	0.3314739536	0.8651489362
22	0.3288159406	0.8663404255
23	0.3255559869	0.8670212766
24	0.3226264968	0.8683829787
25	0.31985706	0.8705957447
26	0.3168809572	0.8721702128
27	0.3126952755	0.8765106383
28	0.3093910099	0.8782978723
29	0.3069271839	0.8783404255
30	0.3047913378	0.8794893617
31	0.3022135786	0.8805957447
32	0.2992532834	0.8824255319
33	0.2968398522	0.8836595745
34	0.2943537342	0.8843829787
35	0.2920886041	0.8860851064
36	0.2902754891	0.8870212766
37	0.2882088876	0.888
38	0.28677816	0.8888085106
39	0.2851715406	0.8895744681
40	0.2828884265	0.8904255319
41	0.2813942184	0.8910212766
42	0.2796210445	0.8924680851
43	0.2793241411	0.8920851064
44	0.2772988154	0.8926808511
45	0.2756452774	0.8944680851
46	0.2745541988	0.8951914894
47	0.2734059822	0.8955744681
48	0.270939579	0.896893617
49	0.2708145836	0.896893617
50	0.2689507142	0.897106383
51	0.267003427	0.8991489362
52	0.2651185758	0.9012340426
53	0.2639416208	0.9016595745
54	0.2621913558	0.9029787234
55	0.2610109935	0.9037021277
56	0.2590758226	0.9047234043
57	0.2575763609	0.9065531915
58	0.2563325727	0.9073191489
59	0.254430559	0.9088510638
60	0.2527293741	0.9086808511
61	0.2505800282	0.9098723404
62	0.2495818255	0.910212766
63	0.2478598669	0.911106383
64	0.2464164115	0.9127234043
65	0.2457107329	0.9134468085
66	0.2447477153	0.9141276596
67	0.2438740289	0.9147659574
68	0.2425605036	0.9150638298
69	0.2413413411	0.9157021277
70	0.2397449749	0.916212766
71	0.2391198978	0.9165106383
72	0.2388562858	0.9162553191
73	0.2368699875	0.9174893617
74	0.2354660212	0.9183404255
75	0.234157479	0.9192340426
76	0.2326096916	0.9199574468
77	0.2315622682	0.9208510638
78	0.2306284211	0.9215319149
79	0.2294865479	0.9223829787
80	0.2285261249	0.9233617021
81	0.2274597974	0.9233191489
82	0.2267500726	0.9238723404
83	0.2260820093	0.9243404255
84	0.2253160078	0.9251914894
85	0.2245343181	0.9257021277
86	0.223162138	0.9272340426
87	0.2223747072	0.9276170213
88	0.2213740777	0.928212766
89	0.220437917	0.9286808511
90	0.2194601745	0.9288510638
91	0.2188122	0.9294468085
92	0.2179662452	0.9292765957
93	0.2165427739	0.9302553191
94	0.215436864	0.9305106383
95	0.2142240406	0.9311489362
96	0.2132308851	0.9317021277
97	0.2120176912	0.9324255319
98	0.2103391931	0.9332765957
99	0.2093306531	0.9340425532
100	0.2081484745	0.9347234043
101	0.2070748958	0.9358297872
102	0.2060714904	0.9357446809
103	0.2048388351	0.9367234043
104	0.2035861791	0.9379574468
105	0.2025441419	0.9385957447
106	0.2014253249	0.9390638298
107	0.2006136932	0.9394893617
108	0.1992194035	0.9401702128
109	0.197680021	0.9412765957
110	0.1964535833	0.9420425532
111	0.1953454923	0.9422978723
112	0.1943481043	0.9431489362
113	0.1932967121	0.9431914894
114	0.1920469392	0.9438297872
115	0.1904208078	0.944893617
116	0.1891893734	0.9457446809
117	0.1884521748	0.9463829787
118	0.187460742	0.9471489362
119	0.1862194117	0.9477021277
120	0.1853057473	0.9486382979
121	0.1839735214	0.9494468085
122	0.1828555312	0.9504255319
123	0.1816244686	0.9508085106
124	0.1804495751	0.950893617
125	0.1795741518	0.9519148936
126	0.1783689794	0.952893617
127	0.1768973536	0.9536595745
128	0.1761524021	0.9541276596
129	0.175472956	0.9545531915
130	0.1740985144	0.9556595745
131	0.1731783213	0.9557446809
132	0.1719967134	0.9563829787
133	0.1709972435	0.9571914894
134	0.1695175905	0.9578723404
135	0.1691712622	0.9579148936
136	0.1686588128	0.9581702128
137	0.1675961562	0.9585531915
138	0.1665724758	0.9594468085
139	0.1658392906	0.9597446809
140	0.1645514093	0.9601276596
141	0.1633387126	0.9607659574
142	0.1624364585	0.9608510638
143	0.1615072569	0.9614468085
144	0.1606525281	0.9615319149
145	0.1598858975	0.9624255319
146	0.1586818793	0.9632765957
147	0.1576431484	0.9636170213
148	0.1563907302	0.9639574468
149	0.1555423642	0.9639148936
150	0.1542843299	0.9645106383
151	0.1538040504	0.9645957447
152	0.1527938541	0.9654042553
153	0.1522111688	0.965787234
154	0.1514073316	0.9662978723
155	0.1502416051	0.9669787234
156	0.1493622631	0.9676595745
157	0.1487027669	0.9678297872
158	0.1475614016	0.9684680851
159	0.1469444105	0.9688510638
160	0.1463956262	0.9692765957
161	0.1456370741	0.9694468085
162	0.1446998256	0.9697021277
163	0.1440974016	0.9699148936
164	0.1431364328	0.9706382979
165	0.1429112198	0.9707234043
166	0.1419906611	0.9714468085
167	0.1414844573	0.9715744681
168	0.1406354435	0.9722553191
169	0.1398556798	0.9727659574
170	0.1391561037	0.9727659574
171	0.138278409	0.9732340426
172	0.1376548603	0.9736595745
173	0.1369839806	0.9739574468
174	0.1366638065	0.9739574468
175	0.1359020443	0.9740851064
176	0.1353091744	0.9745957447
177	0.1348814609	0.9745957447
178	0.1340048392	0.975106383
179	0.1331531038	0.9754468085
180	0.1324454944	0.9754468085
181	0.1321929938	0.9756170213
