iter	Passed	Remaining
0	512	255774
1	845	210424
2	1166	193330
3	1452	180144
4	1833	181499
5	2218	182642
6	2506	176526
7	2775	170664
8	2982	162702
9	3255	159519
10	3573	158851
11	3876	157664
12	4181	156662
13	4544	157754
14	4854	156948
15	5132	155260
16	5375	152735
17	5590	149706
18	5799	146824
19	6011	144274
20	6243	142416
21	6530	141892
22	6751	140020
23	6980	138445
24	7186	136544
25	7440	135641
26	7652	134060
27	8004	134940
28	8354	135687
29	8701	136325
30	9000	136163
31	9351	136767
32	9604	135916
33	9782	134078
34	9978	132577
35	10190	131346
36	10387	129985
37	10618	129098
38	10882	128635
39	11084	127477
40	11421	127863
41	11652	127071
42	11949	126995
43	11999	124359
44	12196	123315
45	12390	122288
46	12619	121629
47	12887	121355
48	13072	120317
49	13121	118094
50	13366	117675
51	13596	117140
52	13806	116445
53	14011	115721
54	14190	114811
55	14415	114297
56	14765	114756
57	15015	114430
58	15274	114168
59	15588	114312
60	15778	113556
61	16017	113157
62	16280	112929
63	16624	113254
64	16900	113102
65	17243	113390
66	17572	113567
67	17895	113690
68	18218	113797
69	18582	114148
70	18909	114255
71	19124	113681
72	19225	112454
73	19532	112445
74	19884	112680
75	20188	112632
76	20519	112725
77	20842	112764
78	21105	112471
79	21377	112229
80	21722	112365
81	22052	112412
82	22380	112444
83	22695	112398
84	22976	112179
85	23238	111869
86	23442	111284
87	23655	110750
88	23960	110648
89	24281	110616
90	24595	110543
91	24892	110392
92	25215	110352
93	25519	110223
94	25738	109725
95	26039	109583
96	26362	109526
97	26667	109389
98	26996	109349
99	27273	109094
100	27515	108698
101	27842	108638
102	28194	108670
103	28553	108721
104	28933	108843
105	29226	108634
106	29504	108367
107	29824	108252
108	30088	107933
109	30322	107506
110	30628	107339
111	30886	106999
112	31163	106728
113	31410	106353
114	31729	106225
115	32064	106143
116	32409	106091
117	32715	105909
118	32997	105646
119	33312	105489
120	33580	105180
121	33788	104688
122	34127	104601
123	34439	104430
124	34751	104255
125	35118	104240
126	35370	103883
127	35729	103837
128	36046	103667
129	36334	103413
130	36664	103275
131	36963	103050
132	37151	102514
133	37392	102132
134	37640	101767
135	37991	101682
136	38285	101442
137	38608	101277
138	38962	101190
139	39262	100961
140	39560	100724
141	39837	100436
142	40126	100176
143	40360	99779
144	40715	99681
145	41050	99532
146	41354	99306
147	41598	98936
148	41899	98703
149	42213	98497
150	42490	98205
151	42801	97993
152	43054	97647
153	43283	97247
154	43510	96845
155	43809	96604
156	44164	96485
157	44484	96288
158	44802	96086
159	45138	95919
160	45429	95655
161	45705	95361
162	46033	95174
163	46349	94959
164	46646	94706
165	46969	94505
166	47231	94180
167	47488	93846
168	47806	93632
169	48163	93494
170	48510	93332
171	48839	93135
172	49063	92738
173	49329	92422
174	49611	92134
175	49934	91925
176	50270	91735
177	50563	91469
178	50946	91362
179	51249	91110
180	51536	90829
181	51825	90553
182	52167	90367
183	52488	90142
184	52840	89972
185	53186	89788
186	53524	89589
187	53748	89199
188	53944	88765
189	54197	88427
190	54492	88157
191	54849	87987
192	55155	87733
193	55465	87486
194	55789	87260
195	56127	87055
196	56442	86812
197	56743	86548
198	57090	86353
199	57416	86124
200	57727	85872
201	58039	85623
202	58359	85382
203	58714	85194
204	59005	84911
205	59289	84617
206	59598	84359
207	59938	84144
208	60285	83937
209	60590	83672
210	60938	83465
211	61265	83227
212	61563	82952
213	61789	82578
214	62107	82328
215	62382	82020
216	62636	81687
217	62904	81372
218	63179	81066
219	63543	80873
220	63809	80555
221	64070	80231
222	64307	79879
223	64637	79642
224	64951	79385
225	65257	79117
226	65550	78834
227	65784	78480
228	66070	78188
229	66373	77916
230	66665	77632
231	66965	77356
232	67229	77040
233	67516	76749
234	67778	76430
235	68048	76121
236	68359	75858
237	68634	75555
238	68961	75309
239	69245	75015
240	69557	74752
241	69853	74471
242	70083	74121
243	70365	73825
244	70604	73486
245	70890	73195
246	71196	72926
247	71399	72551
248	71590	72165
249	71877	71877
250	72127	71552
251	72329	71181
252	72529	70809
253	72807	70514
254	73076	70210
255	73378	69939
256	73626	69615
257	73852	69272
258	74146	68993
259	74450	68723
260	74799	68494
261	75084	68206
262	75352	67903
263	75607	67588
264	75901	67309
265	76204	67036
266	76502	66760
267	76830	66510
268	77156	66256
269	77408	65940
270	77722	65676
271	78027	65405
272	78337	65137
273	78631	64856
274	78941	64588
275	79274	64339
276	79597	64080
277	79938	63836
278	80201	63529
279	80407	63177
280	80643	62850
281	80945	62574
282	81270	62316
283	81583	62049
284	81910	61791
285	82130	61454
286	82437	61181
287	82709	60883
288	82995	60595
289	83319	60334
290	83646	60075
291	83880	59750
292	84110	59422
293	84311	59075
294	84500	58720
295	84805	58446
296	85156	58204
